[rs35652124] PASS | NFE2L2 (NRF2) is a master regulator of antioxidant and detox genes, and variants like rs35652124 influence the body's ability to manage oxidative stress.
[rs1801133] PASS | The entry accurately describes the MTHFR enzyme's role in producing methyl groups essential for DNA synthesis, repair, and neurotransmitter production, linking reduced efficiency to impaired states and high efficiency to robust function.
[rs429358] FAIL | The SNP rs429358 is one of two key SNPs defining APOE isoforms, which are lipid transporters impacting lipids and brain aging. The narrative correctly describes the biological effects of APOE isoforms but is logically inverted with the provided score logic for rs429358 genotypes.
   REASON: Logical or factual mismatch detected.
[rs1006737] FAIL | No summary provided.
   REASON: Logical or factual mismatch detected.
[2026-04-16 19:37:55] rs35652124 | 1178 t | PASS | The NFE2L2 (NRF2) gene regulates antioxidant and detox genes, with variants affecting oxidative stress handling. Scores below 5 indicate risk due to impaired defense, while scores above 5 indicate a robust defense system.
[2026-04-16 19:38:02] rs662799 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:02] rs6025 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:02] rs738409 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:02] rs671 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:02] rs1801282 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:02] rs1048943 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:08] rs53576 | 1523 t | PASS | The OXTR gene, specifically rs53576, influences oxytocin receptor density, impacting social bonding, empathy, and stress resilience, with the GG genotype associated with higher empathy and social stress relief, and the AA genotype linked to lower empathy and social reciprocity.
[2026-04-16 19:38:08] rs174537 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:14] rs1801394 | 1579 t | PASS | The MTRR SNP logic accurately describes how variants affect B12 regeneration and its downstream impact on homocysteine and methylation stability, with specific genotypes correlating to either efficient B12 recycling or a functional B12 deficiency.
[2026-04-16 19:38:14] rs1799983 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:14] rs3813034 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:14] rs2235544 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:14] rs1800955 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:14] rs2476601 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:14] rs12979860 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:14] rs4570625 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:20] rs6323 | 1693 t | PASS | The MAOA gene metabolizes neurotransmitters, with low activity variants (scores < 5) linked to aggression and mood issues under stress, while high activity variants (scores > 5) promote rapid clearance and resilience.
[2026-04-16 19:38:20] rs13278062 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:20] rs2395185 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:20] rs699 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:20] rs1052133 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:25] rs4253778 | 1399 t | PASS | The SNP logic accurately describes how PPARA variants influence the body's metabolic flexibility, specifically its ability to switch between fat and glucose utilization during prolonged efforts, impacting endurance and metabolic health.
[2026-04-16 19:38:25] rs601338 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:25] rs1799930 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:25] rs3736228 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:25] rs2231142 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:25] rs7754840 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:31] rs12594956 | 1547 t | PASS | The SNP logic accurately describes how PPARGC1A variants influence PGC-1α activity, linking lower function to metabolic and fitness risks, and higher function to improved endurance and metabolic efficiency, consistent with current biological understanding.
[2026-04-16 19:38:31] rs2241880 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:31] rs6259 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:31] rs1056836 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:31] rs523349 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:31] rs1800012 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:31] rs660339 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:31] rs4994 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:31] rs2740574 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:31] rs893703 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:31] rs1800255 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:31] rs1800562 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:31] rs6152 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:31] rs419598 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:31] rs1799752 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:31] rs11185098 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:31] rs1801516 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:31] rs1049434 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:31] rs8101881 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:31] rs1229984 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:31] rs10065172 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:31] rs693 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:31] rs16944 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:31] rs25487 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:31] rs1799950 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:31] rs2239681 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:31] rs8192675 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:31] rs2285477 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:31] rs7946 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:31] rs4961 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:31] rs4149056 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:31] rs5751876 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:39] rs350843 | 2094 t | FAIL | The narrative incorrectly identifies the 'G allele' as the 'Longevity' variant, which contradicts the provided score logic where the 'GG' genotype is associated with a risk score (4) and the 'CC' genotype with a superpower score (8).
[2026-04-16 19:38:39] rs234706 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:39] rs1501299 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:39] rs13181 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:39] rs3758391 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:39] rs2535633 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:39] rs3731249 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:39] rs17609940 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:39] rs679620 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:39] rs143383 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:39] rs8031440 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:39] rs1728986 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:39] rs934078 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs324420 | 2944 t | FAIL | The rs324420 variant in the FAAH gene influences anandamide breakdown, affecting pain tolerance and anxiety, with genotypes scoring above 5 considered a superpower, but no genotype strictly meeting the criteria for risk based on the provided logic.
[2026-04-16 19:38:52] rs1611115 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs676925 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1805086 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs4244285 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1803274 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1254337 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs6020 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs17608 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1047303 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs45446698 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1800252 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs5219 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs10757278 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs12203592 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1805007 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1110400 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs3741942 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs2486758 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs2293275 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs7454108 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs2071403 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1049434_TIER2 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1333049 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs2802292 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs8192678 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs2070744 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs5516 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1800498 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs6275 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs2740574_dupfix | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs2943641 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs12778366 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs659366 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs6265 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1695 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1544410 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1815739 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs4343 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs521674 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs762551 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1045642 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs174547 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs328 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs328_TIER2 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs11645428 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs602662 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1800795 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1205 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs9536314 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1050450 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1042173 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1799971 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs699005 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs559870 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs225014 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1800440 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs3123554 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1137101 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs3733890 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs7501331 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs33972313 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs57875989 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs40184 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs6214 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs2229765 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs6263 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs444697 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs7799039 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs2234693 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs12130333 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1054135 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs4402960 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1042522 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs7498665 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs3749034 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs2016520 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1042713 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1042714 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1042713_dupfix | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs838133 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1001179 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs662 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1360780 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs6311 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs41423247 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs9340799 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1256049 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs3024493 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs17602729 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs17070145 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs885479 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs3813867 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs5082 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1799883 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs11558538 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs11191548 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs11191548_TIER2 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs324981 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1049353 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1256335 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs3774175 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs8007267 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs2271683 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs10741657 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs2228145 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs5370 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs16835198 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs6536 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1051266 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs9923231 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs894160 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1761667 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs5400 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs6746030 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs10830963 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs73598374 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs2066853 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs5186 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1801272 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs2052129 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs16942 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs2802295 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs5882 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs12785878 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs7041 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs4588 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs6295 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs9282858 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1260326 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1800566 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs2071749 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs713041 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs17822931 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs713598 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1800592 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs17226398 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1800849 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs553668 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs16969968 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs662799_TIER2 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1800588 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1010151 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1801198 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs137852 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs3923809 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs2304672 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs2569190 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1946518 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs558972 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs35874116 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs10993994 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs16906252 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1979277 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1061170 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1800790 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1800790_TIER2 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1799998 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs17653216 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs6232 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs987237 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs231775 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1051740 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs20541 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1805065 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs11615 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs1801253 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs2010963 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs4074995 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs12722 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs479744 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs7294919 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
[2026-04-16 19:38:52] rs11209026 | 0 t | FAIL | Missing 'risks' list or core mechanisms.
